species,response,treatment,component,estimate,lower_95,upper_95,p_value,significant
fagus,Volume (phase incr.),precipitation,Via SWC (ab),-0.01013479049463003,-0.05726688674716004,0.03190343323407889,0.6633366633366633,FALSE
fagus,Volume (phase incr.),robinia,SWC-adjusted (c'),-0.46276112224206817,-0.5992948464378817,-0.32694979287609083,0.00199800199800199,TRUE
fagus,Volume (phase incr.),robinia,Via SWC (ab),-0.00415167320503439,-0.02553651802348989,0.01409072757359082,0.6633366633366633,FALSE
fagus,Volume (phase incr.),culture,SWC-adjusted (c'),0.13030258877120987,0.00135131646867132,0.2579868380699656,0.04995004995004995,TRUE
fagus,Volume (phase incr.),culture,Via SWC (ab),5.156034451987684e-4,-0.00510589865503755,0.00731436909971654,0.9110889110889112,FALSE
fagus,Volume (phase incr.),extreme_event,SWC-adjusted (c'),-0.4367467346106528,-0.6588079177914737,-0.1929027606805223,0.00199800199800199,TRUE
fagus,Volume (phase incr.),extreme_event,Via SWC (ab),-0.00483227050450957,-0.03169641511609922,0.01324198370878543,0.6633366633366633,FALSE
fagus,Chlorophyll,precipitation,SWC-adjusted (c'),-0.6053459699453055,-0.858213372446127,-0.3986446442488942,0.00199800199800199,TRUE
fagus,Chlorophyll,precipitation,Via SWC (ab),0.2303128179949746,0.16067123640711953,0.3012958552204173,0.00199800199800199,TRUE
fagus,Chlorophyll,robinia,SWC-adjusted (c'),-0.8845314850677845,-1.1063681100097542,-0.6741831127037125,0.00199800199800199,TRUE
fagus,Chlorophyll,robinia,Via SWC (ab),0.08646352195336572,0.03736065675536103,0.14436297606940823,0.00199800199800199,TRUE
fagus,Chlorophyll,culture,SWC-adjusted (c'),0.12056515558905428,-0.0847446329990757,0.33866427566965146,0.25374625374625376,FALSE
fagus,Chlorophyll,culture,Via SWC (ab),-0.01950268701184307,-0.06663925781305614,0.01938716880552251,0.34565434565434566,FALSE
fagus,Chlorophyll,extreme_event,SWC-adjusted (c'),-0.4679416162966191,-0.6148207363798024,-0.31446291501445806,0.00199800199800199,TRUE
fagus,Chlorophyll,extreme_event,Via SWC (ab),0.4279584778550524,0.31194160590423164,0.5316699881031819,0.00199800199800199,TRUE
fagus,Vitality,precipitation,SWC-adjusted (c'),-0.671298274547394,-0.9383878530613184,-0.3820664031350009,0.00199800199800199,TRUE
fagus,Vitality,precipitation,Via SWC (ab),0.3415315662881355,0.22885565977522265,0.44110767643021986,0.00199800199800199,TRUE
fagus,Vitality,robinia,SWC-adjusted (c'),-0.8957192722457304,-1.1903852482017594,-0.5928924482875888,0.00199800199800199,TRUE
fagus,Vitality,robinia,Via SWC (ab),0.27210428725619706,0.16536372167332128,0.37584019511458905,0.00199800199800199,TRUE
fagus,Vitality,culture,SWC-adjusted (c'),0.02020821656650131,-0.2312961706429875,0.2548352233930087,0.8591408591408591,FALSE
fagus,Vitality,culture,Via SWC (ab),-0.04596170007039425,-0.11864220750688909,0.02269080167667609,0.1938061938061938,FALSE
fagus,Vitality,extreme_event,SWC-adjusted (c'),-0.06603047671096139,-0.12261215479305612,-0.01378083620418241,0.02397602397602397,TRUE
fagus,Vitality,extreme_event,Via SWC (ab),0.0227440864670367,-0.01411140914366937,0.05692746238613429,0.2137862137862138,FALSE
fagus,Quantum yield,precipitation,SWC-adjusted (c'),-0.3557036347069702,-0.5951986645453432,-0.10445272173901304,0.00799200799200799,TRUE
fagus,Quantum yield,precipitation,Via SWC (ab),0.20445479989649243,0.12594858897559402,0.2849410755695713,0.00199800199800199,TRUE
fagus,Quantum yield,robinia,SWC-adjusted (c'),-1.1319316078826691,-1.3556110925604106,-0.8866363365059337,0.00199800199800199,TRUE
fagus,Quantum yield,robinia,Via SWC (ab),0.06857474783553648,0.02824339879262627,0.11645470878034164,0.00399600399600399,TRUE
fagus,Quantum yield,culture,SWC-adjusted (c'),-0.03639743506946049,-0.2654960241652278,0.20652710915060896,0.7692307692307693,FALSE
fagus,Quantum yield,culture,Via SWC (ab),-0.0150141320925553,-0.05318663756940317,0.02263072697650465,0.4535464535464536,FALSE
fagus,Quantum yield,extreme_event,SWC-adjusted (c'),-0.49944870151025417,-0.6685141331084649,-0.33810920629886165,0.00199800199800199,TRUE
fagus,Quantum yield,extreme_event,Via SWC (ab),0.40748285782345123,0.25892641652592097,0.5529577286608127,0.00199800199800199,TRUE
fagus,Senescence (%),precipitation,SWC-adjusted (c'),-0.06221521689031708,-0.19653228553369329,0.08417218171796301,0.35764235764235763,FALSE
fagus,Senescence (%),precipitation,Via SWC (ab),0.07597175549509336,0.04227864582193535,0.11448422156467015,0.00199800199800199,TRUE
fagus,Senescence (%),robinia,SWC-adjusted (c'),-1.62955938793622,-1.7325275247754466,-1.506315914839372,0.00199800199800199,TRUE
fagus,Senescence (%),robinia,Via SWC (ab),0.01577081439327056,0.00103570204961978,0.03395879875651273,0.03596403596403597,TRUE
fagus,Senescence (%),culture,SWC-adjusted (c'),0.04403098860577059,-0.07344405937071269,0.17145939053195983,0.5034965034965035,FALSE
fagus,Senescence (%),culture,Via SWC (ab),-0.00878956546951095,-0.02483234300314548,0.00521535607716323,0.22577422577422576,FALSE
fagus,Senescence (%),extreme_event,SWC-adjusted (c'),,,,,FALSE
fagus,Senescence (%),extreme_event,Via SWC (ab),,,,,FALSE
fagus,Senescence (Chl),precipitation,SWC-adjusted (c'),-0.547101897734954,-0.8452706624951936,-0.24634535196957927,0.00199800199800199,TRUE
fagus,Senescence (Chl),precipitation,Via SWC (ab),-0.02738335982228398,-0.09998682947997573,0.0443165999831188,0.4855144855144855,FALSE
fagus,Senescence (Chl),robinia,SWC-adjusted (c'),-0.6519393214344958,-0.9170367099556324,-0.37561653542280143,0.00199800199800199,TRUE
fagus,Senescence (Chl),robinia,Via SWC (ab),-0.00150574507191873,-0.01613112676155724,0.00766562735845035,0.7352647352647352,FALSE
fagus,Senescence (Chl),culture,SWC-adjusted (c'),0.4585259826562058,0.17528166401380188,0.7498500318556447,0.00399600399600399,TRUE
fagus,Senescence (Chl),culture,Via SWC (ab),0.00449916926959641,-0.01394426034077278,0.01887074689061725,0.6153846153846154,FALSE
fagus,Senescence (Chl),extreme_event,SWC-adjusted (c'),,,,,FALSE
fagus,Senescence (Chl),extreme_event,Via SWC (ab),,,,,FALSE
quercus,Leaf-out,precipitation,SWC-adjusted (c'),-0.36376964403882417,-0.7551376634158867,0.0487296002585012,0.07792207792207792,FALSE
quercus,Leaf-out,precipitation,Via SWC (ab),0.2717158056620349,0.08731507679119516,0.5148391510376452,0.00399600399600399,TRUE
quercus,Leaf-out,robinia,SWC-adjusted (c'),-0.4134136397873084,-0.6975402592296502,-0.12376923758955607,0.00399600399600399,TRUE
quercus,Leaf-out,robinia,Via SWC (ab),0.14192597748105928,0.00767579089456701,0.3550212104000189,0.04195804195804196,TRUE
quercus,Leaf-out,culture,SWC-adjusted (c'),0.16579845176376798,-0.13848599386529642,0.44651336634767574,0.3076923076923077,FALSE
quercus,Leaf-out,culture,Via SWC (ab),0.09249934520373336,-0.04189864120737308,0.3055558342172513,0.18581418581418585,FALSE
quercus,Leaf-out,extreme_event,SWC-adjusted (c'),,,,,FALSE
quercus,Leaf-out,extreme_event,Via SWC (ab),,,,,FALSE
quercus,Volume (total),precipitation,SWC-adjusted (c'),-0.15191714256649472,-0.2804966125550658,-0.02169675233610369,0.02997002997002997,TRUE
quercus,Volume (total),precipitation,Via SWC (ab),-0.01456951542060337,-0.03613806956487674,0.00337178693368276,0.11388611388611387,FALSE
quercus,Volume (total),robinia,SWC-adjusted (c'),-0.8180888592628984,-0.9451985922501902,-0.6719747248816522,0.00199800199800199,TRUE
quercus,Volume (total),robinia,Via SWC (ab),-0.01350259984633301,-0.03236761853658797,0.00305919225624515,0.11388611388611387,FALSE
quercus,Volume (total),culture,SWC-adjusted (c'),0.00148827309717027,-0.1353418027484516,0.141465843810554,0.9410589410589412,FALSE
quercus,Volume (total),culture,Via SWC (ab),-0.00324830529383264,-0.01275142861037248,0.00107377100888245,0.2017982017982018,FALSE
quercus,Volume (total),extreme_event,SWC-adjusted (c'),-0.05916572092051242,-0.08064747248533377,-0.03519427447146993,0.00199800199800199,TRUE
quercus,Volume (total),extreme_event,Via SWC (ab),-0.00656399652951643,-0.01758861598205064,0.00163506917687788,0.11388611388611387,FALSE
quercus,Volume (phase incr.),precipitation,SWC-adjusted (c'),-0.0954981553463152,-0.2154498906581154,0.03412516477906515,0.13586413586413587,FALSE
quercus,Volume (phase incr.),precipitation,Via SWC (ab),-0.06655221427378134,-0.14014492403194773,-0.00903973351087495,0.01798201798201798,TRUE
quercus,Volume (phase incr.),robinia,SWC-adjusted (c'),-0.6634212507555786,-0.7917161217501306,-0.5558848438136202,0.00199800199800199,TRUE
quercus,Volume (phase incr.),robinia,Via SWC (ab),-0.0616786414842249,-0.12178706715551375,-0.00950925805704592,0.01798201798201798,TRUE
quercus,Volume (phase incr.),culture,SWC-adjusted (c'),-0.15211864636723924,-0.2675234190005556,-0.04334372219499245,0.00799200799200799,TRUE
quercus,Volume (phase incr.),culture,Via SWC (ab),-0.01483796157256517,-0.04833852600140051,0.00122341805518641,0.12187812187812189,FALSE
quercus,Volume (phase incr.),extreme_event,SWC-adjusted (c'),-0.117104089215254,-0.3665022789417934,0.16357126312452638,0.4275724275724276,FALSE
quercus,Volume (phase incr.),extreme_event,Via SWC (ab),-0.02998373596605477,-0.0691910685108313,-0.00362524213509331,0.01798201798201798,TRUE
quercus,Chlorophyll,precipitation,SWC-adjusted (c'),0.04994179992468837,-0.12621978928569225,0.2209969616007253,0.5514485514485514,FALSE
quercus,Chlorophyll,precipitation,Via SWC (ab),0.01558270077693333,-0.02376663561680063,0.04843955409683614,0.35564435564435565,FALSE
quercus,Chlorophyll,robinia,SWC-adjusted (c'),0.08769552800697157,-0.09657402101402436,0.2590149451736482,0.33966033966033965,FALSE
quercus,Chlorophyll,robinia,Via SWC (ab),0.01331864638339632,-0.02100486824448122,0.04230302727989438,0.35564435564435565,FALSE
quercus,Chlorophyll,culture,SWC-adjusted (c'),-0.12348372368381973,-0.325091594606558,0.04903091747205961,0.13586413586413587,FALSE
quercus,Chlorophyll,culture,Via SWC (ab),0.00396493056393053,-0.00576009087828818,0.01729107548897452,0.3836163836163836,FALSE
quercus,Chlorophyll,extreme_event,SWC-adjusted (c'),-0.1169365105343846,-0.23962518581424055,-0.00984206121698685,0.02797202797202797,TRUE
quercus,Chlorophyll,extreme_event,Via SWC (ab),0.02812721633170547,-0.04663327168405044,0.08132161081755175,0.35564435564435565,FALSE
quercus,Vitality,precipitation,SWC-adjusted (c'),0.092296571697821,-0.02242502887869699,0.26451817961861884,0.23176823176823175,FALSE
quercus,Vitality,precipitation,Via SWC (ab),-0.01057916587464317,-0.02980826579686445,0.00655500213573356,0.35564435564435565,FALSE
quercus,Vitality,robinia,SWC-adjusted (c'),-0.06917780189958847,-0.2347862524297289,0.02704490735845048,0.3156843156843157,FALSE
quercus,Vitality,robinia,Via SWC (ab),-0.01527994181864438,-0.04326611721024343,0.00895530012437596,0.35564435564435565,FALSE
quercus,Vitality,culture,SWC-adjusted (c'),0.05982751533551644,-0.03056758375829507,0.21058485443193056,0.4475524475524475,FALSE
quercus,Vitality,culture,Via SWC (ab),-0.00259866764315624,-0.010203863207582,0.00204773217510977,0.4255744255744256,FALSE
quercus,Vitality,extreme_event,SWC-adjusted (c'),0.00644643067127703,-0.03135118096860183,0.05108838363631217,0.8251748251748252,FALSE
quercus,Vitality,extreme_event,Via SWC (ab),-5.85701989999131e-4,-0.00322665099406662,9.366980700993604e-4,0.6033966033966034,FALSE
quercus,Quantum yield,precipitation,SWC-adjusted (c'),0.3661447702167038,0.1821040773719596,0.5572299096311227,0.00199800199800199,TRUE
quercus,Quantum yield,precipitation,Via SWC (ab),-0.18440930196609465,-0.2541463600075884,-0.11279442121969346,0.00199800199800199,TRUE
quercus,Quantum yield,robinia,SWC-adjusted (c'),-0.23837521575359535,-0.47063061629538,-0.08691929962879598,0.00199800199800199,TRUE
quercus,Quantum yield,robinia,Via SWC (ab),-0.13256943214276487,-0.197443644662803,-0.06979411418326557,0.00199800199800199,TRUE
quercus,Quantum yield,culture,SWC-adjusted (c'),0.17836163443139694,0.01826004360085587,0.3473414184192574,0.02597402597402597,TRUE
quercus,Quantum yield,culture,Via SWC (ab),-0.05002217517755597,-0.09827381111750184,-0.00508882207531239,0.03196803196803197,TRUE
quercus,Quantum yield,extreme_event,SWC-adjusted (c'),0.01265330232683916,-0.12103676857363362,0.13751148053547552,0.8671328671328671,FALSE
quercus,Quantum yield,extreme_event,Via SWC (ab),-0.3231208989221891,-0.4180491373263101,-0.21595445947136793,0.00199800199800199,TRUE
quercus,Senescence (%),precipitation,SWC-adjusted (c'),,,,,FALSE
quercus,Senescence (%),precipitation,Via SWC (ab),,,,,FALSE
quercus,Senescence (%),robinia,SWC-adjusted (c'),,,,,FALSE
quercus,Senescence (%),robinia,Via SWC (ab),,,,,FALSE
quercus,Senescence (%),culture,SWC-adjusted (c'),,,,,FALSE
quercus,Senescence (%),culture,Via SWC (ab),,,,,FALSE
quercus,Senescence (%),extreme_event,SWC-adjusted (c'),,,,,FALSE
quercus,Senescence (%),extreme_event,Via SWC (ab),,,,,FALSE
quercus,Senescence (Chl),precipitation,SWC-adjusted (c'),,,,,FALSE
quercus,Senescence (Chl),precipitation,Via SWC (ab),,,,,FALSE
quercus,Senescence (Chl),robinia,SWC-adjusted (c'),,,,,FALSE
quercus,Senescence (Chl),robinia,Via SWC (ab),,,,,FALSE
quercus,Senescence (Chl),culture,SWC-adjusted (c'),,,,,FALSE
quercus,Senescence (Chl),culture,Via SWC (ab),,,,,FALSE
quercus,Senescence (Chl),extreme_event,SWC-adjusted (c'),,,,,FALSE
quercus,Senescence (Chl),extreme_event,Via SWC (ab),,,,,FALSE
