response,summary_level,date,species,robinia,precipitation,culture,mean,sd,n,se
Diameter increment,treatment combination,2025-07-09,fagus,without-robinia,control,mono,2.9941666666666666,0.8332372994310329,48,0.12026744478133591
Diameter increment,treatment combination,2025-07-09,fagus,without-robinia,control,mixed,3.8320833333333337,0.8926900195557765,24,0.18221958719889914
Diameter increment,treatment combination,2025-07-09,fagus,without-robinia,drought,mono,2.0483333333333333,0.6757449264876203,48,0.09753537880278787
Diameter increment,treatment combination,2025-07-09,fagus,without-robinia,drought,mixed,2.8116666666666665,0.7584002996391507,24,0.15480781290748238
Diameter increment,treatment combination,2025-07-09,fagus,with-robinia,control,mono,1.723,0.6382958079617462,40,0.1009234287048278
Diameter increment,treatment combination,2025-07-09,fagus,with-robinia,control,mixed,1.5041666666666667,0.5267778730510918,24,0.10752808306364905
Diameter increment,treatment combination,2025-07-09,fagus,with-robinia,drought,mono,0.9106250000000001,0.5481435060196276,48,0.07911770018874431
Diameter increment,treatment combination,2025-07-09,fagus,with-robinia,drought,mixed,1.4120833333333334,1.149937537686161,24,0.23473001695029963
Diameter increment,treatment combination,2025-07-09,quercus,without-robinia,control,mono,2.5385416666666667,0.9524347067213457,48,0.1374721085777778
Diameter increment,treatment combination,2025-07-09,quercus,without-robinia,control,mixed,2.5508333333333333,0.7259771026851938,24,0.14818945554356935
Diameter increment,treatment combination,2025-07-09,quercus,without-robinia,drought,mono,2.379375,0.7979052528672759,48,0.11516770313268454
Diameter increment,treatment combination,2025-07-09,quercus,without-robinia,drought,mixed,2.537916666666667,0.5726747249352901,24,0.1168967387233476
Diameter increment,treatment combination,2025-07-09,quercus,with-robinia,control,mono,1.1714285714285713,0.6120440523997615,56,0.0817878267747366
Diameter increment,treatment combination,2025-07-09,quercus,with-robinia,control,mixed,1.3054166666666667,0.68599644546339,24,0.14002843806235782
Diameter increment,treatment combination,2025-07-09,quercus,with-robinia,drought,mono,0.9360416666666667,0.5402550208824094,48,0.07797909543437649
Diameter increment,treatment combination,2025-07-09,quercus,with-robinia,drought,mixed,1.0641666666666665,1.7044313514729945,24,0.34791559272593087
Diameter increment,treatment combination,2025-08-05,fagus,without-robinia,control,mono,3.834791666666667,0.9613465502701468,48,0.13875842239574684
Diameter increment,treatment combination,2025-08-05,fagus,without-robinia,control,mixed,4.73875,0.8783992976357372,24,0.17930250580222387
Diameter increment,treatment combination,2025-08-05,fagus,without-robinia,drought,mono,2.315833333333333,0.7117489197903253,48,0.10273210760909242
Diameter increment,treatment combination,2025-08-05,fagus,without-robinia,drought,mixed,3.5508333333333333,0.9604705217696196,24,0.19605522427669086
Diameter increment,treatment combination,2025-08-05,fagus,with-robinia,control,mono,2.22675,0.8116345884252378,40,0.12833069635985433
Diameter increment,treatment combination,2025-08-05,fagus,with-robinia,control,mixed,1.6762499999999998,0.6373232917922187,24,0.13009307217348753
Diameter increment,treatment combination,2025-08-05,fagus,with-robinia,drought,mono,0.9910416666666666,0.5352638624849146,48,0.07725868377328608
Diameter increment,treatment combination,2025-08-05,fagus,with-robinia,drought,mixed,1.4633333333333334,1.1439620952471803,24,0.23351028487006012
Diameter increment,treatment combination,2025-08-05,quercus,without-robinia,control,mono,3.777083333333333,1.3545588248315676,48,0.1955137255374222
Diameter increment,treatment combination,2025-08-05,quercus,without-robinia,control,mixed,3.3345833333333332,0.9295252606276642,24,0.18973854929711031
Diameter increment,treatment combination,2025-08-05,quercus,without-robinia,drought,mono,3.3966666666666665,1.0481418885054237,48,0.15128625036938229
Diameter increment,treatment combination,2025-08-05,quercus,without-robinia,drought,mixed,3.2845833333333334,0.795372372002528,24,0.1623547055761099
Diameter increment,treatment combination,2025-08-05,quercus,with-robinia,control,mono,1.5558928571428572,0.8523396181542454,56,0.11389867243953261
Diameter increment,treatment combination,2025-08-05,quercus,with-robinia,control,mixed,1.8654166666666667,0.9922787965813477,24,0.20254806118393726
Diameter increment,treatment combination,2025-08-05,quercus,with-robinia,drought,mono,1.326875,0.7073599590746764,48,0.10209861569643178
Diameter increment,treatment combination,2025-08-05,quercus,with-robinia,drought,mixed,1.0629166666666665,1.0977505821359013,24,0.2240773992563461
Diameter increment,treatment combination,2025-09-01,fagus,without-robinia,control,mono,3.9537500000000003,1.074407555699736,48,0.1550773728756526
Diameter increment,treatment combination,2025-09-01,fagus,without-robinia,control,mixed,4.9991666666666665,0.8934151217156249,24,0.18236759805748398
Diameter increment,treatment combination,2025-09-01,fagus,without-robinia,drought,mono,2.4595833333333332,0.8045666425284504,48,0.11612919191119857
Diameter increment,treatment combination,2025-09-01,fagus,without-robinia,drought,mixed,3.8325,1.0931337083576858,24,0.22313498384272412
Diameter increment,treatment combination,2025-09-01,fagus,with-robinia,control,mono,2.343,0.8137794068891906,40,0.12866982193553805
Diameter increment,treatment combination,2025-09-01,fagus,with-robinia,control,mixed,1.8849999999999998,0.6482954238013249,24,0.13233274924121824
Diameter increment,treatment combination,2025-09-01,fagus,with-robinia,drought,mono,0.9643750000000001,0.6008430469109854,48,0.08672422371869311
Diameter increment,treatment combination,2025-09-01,fagus,with-robinia,drought,mixed,1.5120833333333332,1.3425639946423953,24,0.27404972782554643
Diameter increment,treatment combination,2025-09-01,quercus,without-robinia,control,mono,4.807291666666667,1.7136904802375306,48,0.24734991501820935
Diameter increment,treatment combination,2025-09-01,quercus,without-robinia,control,mixed,4.25875,1.255576474217598,24,0.2562934745729895
Diameter increment,treatment combination,2025-09-01,quercus,without-robinia,drought,mono,4.4025,1.239757182814613,48,0.17894353580694725
Diameter increment,treatment combination,2025-09-01,quercus,without-robinia,drought,mixed,3.9175,0.7609104957934906,24,0.1553202045518515
Diameter increment,treatment combination,2025-09-01,quercus,with-robinia,control,mono,1.89375,0.9773257808009477,56,0.13060065096494555
Diameter increment,treatment combination,2025-09-01,quercus,with-robinia,control,mixed,2.31,0.865593538511606,24,0.17668854116696459
Diameter increment,treatment combination,2025-09-01,quercus,with-robinia,drought,mono,1.78875,0.7445421983382697,48,0.10746540965840895
Diameter increment,treatment combination,2025-09-01,quercus,with-robinia,drought,mixed,1.5999999999999999,1.1630806170421422,24,0.23741283678955477
Diameter increment,treatment combination,2025-09-29,fagus,without-robinia,control,mono,4.240625,1.1001477777911126,48,0.15879265391401687
Diameter increment,treatment combination,2025-09-29,fagus,without-robinia,control,mixed,5.182916666666666,0.8667654974306672,24,0.17692776627956489
Diameter increment,treatment combination,2025-09-29,fagus,without-robinia,drought,mono,2.674583333333333,0.7676711350775187,48,0.11080378412152775
Diameter increment,treatment combination,2025-09-29,fagus,without-robinia,drought,mixed,4.01875,1.235233871536603,24,0.25214105818893856
Diameter increment,treatment combination,2025-09-29,fagus,with-robinia,control,mono,2.54225,0.8052153319263302,40,0.127315722788785
Diameter increment,treatment combination,2025-09-29,fagus,with-robinia,control,mixed,2.0620833333333333,0.737987740953128,24,0.15064111681370138
Diameter increment,treatment combination,2025-09-29,fagus,with-robinia,drought,mono,1.2781250000000002,0.5962708803605603,48,0.08606428832152617
Diameter increment,treatment combination,2025-09-29,fagus,with-robinia,drought,mixed,1.6533333333333333,1.284024470397551,24,0.26210039747678365
Diameter increment,treatment combination,2025-09-29,quercus,without-robinia,control,mono,6.411041666666667,2.223157845664043,48,0.32088519516129094
Diameter increment,treatment combination,2025-09-29,quercus,without-robinia,control,mixed,5.429166666666666,1.7163482890355797,24,0.35034812741967586
Diameter increment,treatment combination,2025-09-29,quercus,without-robinia,drought,mono,5.70125,1.5533952176209564,48,0.22421328676283414
Diameter increment,treatment combination,2025-09-29,quercus,without-robinia,drought,mixed,4.6025,1.0740101610724906,24,0.21923140609933123
Diameter increment,treatment combination,2025-09-29,quercus,with-robinia,control,mono,2.659642857142857,1.3179432520349332,56,0.1761175751544778
Diameter increment,treatment combination,2025-09-29,quercus,with-robinia,control,mixed,3.34375,1.1941335316053847,24,0.24375148643173686
Diameter increment,treatment combination,2025-09-29,quercus,with-robinia,drought,mono,2.7004166666666665,0.8928461741980762,48,0.1288712447545467
Diameter increment,treatment combination,2025-09-29,quercus,with-robinia,drought,mixed,2.325833333333333,1.494424177798394,24,0.3050480579070292
Diameter increment,treatment combination,2025-11-05,fagus,without-robinia,control,mono,4.274791666666666,1.0338422234111944,48,0.14922227149651357
Diameter increment,treatment combination,2025-11-05,fagus,without-robinia,control,mixed,5.333333333333333,0.9033448312012259,24,0.1843944915186337
Diameter increment,treatment combination,2025-11-05,fagus,without-robinia,drought,mono,2.77875,0.9174284713262392,48,0.13241939372060776
Diameter increment,treatment combination,2025-11-05,fagus,without-robinia,drought,mixed,4.024583333333333,1.1216059106658542,24,0.22894684780174965
Diameter increment,treatment combination,2025-11-05,fagus,with-robinia,control,mono,2.6344999999999996,0.8528893576603335,40,0.13485364811623157
Diameter increment,treatment combination,2025-11-05,fagus,with-robinia,control,mixed,2.077916666666667,0.7627751344905661,24,0.15570082233205843
Diameter increment,treatment combination,2025-11-05,fagus,with-robinia,drought,mono,1.2768749999999998,0.6340352237010313,48,0.09151510176987375
Diameter increment,treatment combination,2025-11-05,fagus,with-robinia,drought,mixed,1.7466666666666666,1.2172837426602425,24,0.2484770034752485
Diameter increment,treatment combination,2025-11-05,quercus,without-robinia,control,mono,6.620833333333333,2.273635979521763,48,0.3281710862040271
Diameter increment,treatment combination,2025-11-05,quercus,without-robinia,control,mixed,5.610833333333333,1.5450423285792043,24,0.31538044466838316
Diameter increment,treatment combination,2025-11-05,quercus,without-robinia,drought,mono,5.868333333333333,1.5450130252612595,48,0.22300342150901659
Diameter increment,treatment combination,2025-11-05,quercus,without-robinia,drought,mixed,4.694583333333333,1.0813235817301856,24,0.2207242518398048
Diameter increment,treatment combination,2025-11-05,quercus,with-robinia,control,mono,2.855892857142857,1.3593391131999861,56,0.18164932978698098
Diameter increment,treatment combination,2025-11-05,quercus,with-robinia,control,mixed,3.473333333333333,1.2561800849389002,24,0.25641668609552815
Diameter increment,treatment combination,2025-11-05,quercus,with-robinia,drought,mono,2.8904166666666664,0.9313887099798955,48,0.13443438060676774
Diameter increment,treatment combination,2025-11-05,quercus,with-robinia,drought,mixed,2.498333333333333,1.6302804951153722,24,0.33277961255371546
Diameter increment,treatment combination,2025-12-02,fagus,without-robinia,control,mono,4.274791666666666,1.0338422234111944,48,0.14922227149651357
Diameter increment,treatment combination,2025-12-02,fagus,without-robinia,control,mixed,5.333333333333333,0.9033448312012259,24,0.1843944915186337
Diameter increment,treatment combination,2025-12-02,fagus,without-robinia,drought,mono,2.77875,0.9174284713262392,48,0.13241939372060776
Diameter increment,treatment combination,2025-12-02,fagus,without-robinia,drought,mixed,4.024583333333333,1.1216059106658542,24,0.22894684780174965
Diameter increment,treatment combination,2025-12-02,fagus,with-robinia,control,mono,2.6344999999999996,0.8528893576603335,40,0.13485364811623157
Diameter increment,treatment combination,2025-12-02,fagus,with-robinia,control,mixed,2.077916666666667,0.7627751344905661,24,0.15570082233205843
Diameter increment,treatment combination,2025-12-02,fagus,with-robinia,drought,mono,1.2768749999999998,0.6340352237010313,48,0.09151510176987375
Diameter increment,treatment combination,2025-12-02,fagus,with-robinia,drought,mixed,1.7466666666666666,1.2172837426602425,24,0.2484770034752485
Diameter increment,treatment combination,2025-12-02,quercus,without-robinia,control,mono,6.640625,2.332048142134729,48,0.33660215565616314
Diameter increment,treatment combination,2025-12-02,quercus,without-robinia,control,mixed,5.647083333333333,1.4403274964748292,24,0.29400561907197237
Diameter increment,treatment combination,2025-12-02,quercus,without-robinia,drought,mono,5.815416666666667,1.5413905829081787,48,0.22248056699209778
Diameter increment,treatment combination,2025-12-02,quercus,without-robinia,drought,mixed,4.819583333333333,1.0538891912987018,24,0.21512423034301908
Diameter increment,treatment combination,2025-12-02,quercus,with-robinia,control,mono,2.767857142857143,1.4589295132648883,56,0.19495765678893143
Diameter increment,treatment combination,2025-12-02,quercus,with-robinia,control,mixed,3.402083333333333,1.203155196778966,24,0.2455930261238628
Diameter increment,treatment combination,2025-12-02,quercus,with-robinia,drought,mono,2.84625,0.9885894206156525,48,0.14269059202761578
Diameter increment,treatment combination,2025-12-02,quercus,with-robinia,drought,mixed,2.60625,1.5333135828910736,24,0.3129863244801508
Diameter increment,Robinia mean,2025-03-07,fagus,without-robinia,,,0,0,24,0
Diameter increment,Robinia mean,2025-03-07,fagus,with-robinia,,,0,0,23,0
Diameter increment,Robinia mean,2025-03-07,quercus,without-robinia,,,0,0,24,0
Diameter increment,Robinia mean,2025-03-07,quercus,with-robinia,,,0,0,25,0
Diameter increment,Robinia mean,2025-05-08,fagus,without-robinia,,,0.1935416666666666,0.10204343349202144,24,0.02082952863809033
Diameter increment,Robinia mean,2025-05-08,fagus,with-robinia,,,0.24766304347826082,0.24507081083257218,23,0.051100796523246006
Diameter increment,Robinia mean,2025-05-08,quercus,without-robinia,,,0.9063541666666666,0.24790670269832082,24,0.05060374378556131
Diameter increment,Robinia mean,2025-05-08,quercus,with-robinia,,,0.6386999999999999,0.26909050134976276,25,0.053818100269952554
Diameter increment,Robinia mean,2025-06-11,fagus,without-robinia,,,1.7705729166666666,0.35463104279971036,24,0.0723887584841994
Diameter increment,Robinia mean,2025-06-11,fagus,with-robinia,,,1.213804347826087,0.5101549004765487,23,0.10637465015121285
Diameter increment,Robinia mean,2025-06-11,quercus,without-robinia,,,1.60921875,0.3063891237897169,24,0.06254141800193641
Diameter increment,Robinia mean,2025-06-11,quercus,with-robinia,,,0.9833999999999999,0.4325408699379363,25,0.08650817398758726
Diameter increment,Robinia mean,2025-07-09,fagus,without-robinia,,,2.9215625,0.7424295686475412,24,0.15154780109509097
Diameter increment,Robinia mean,2025-07-09,fagus,with-robinia,,,1.3728804347826087,0.5623925951477983,23,0.11726696244728084
Diameter increment,Robinia mean,2025-07-09,quercus,without-robinia,,,2.5016666666666665,0.2953543530076706,24,0.06028895484822092
Diameter increment,Robinia mean,2025-07-09,quercus,with-robinia,,,1.1213499999999998,0.5005075444819321,25,0.10010150889638643
Diameter increment,Robinia mean,2025-08-05,fagus,without-robinia,,,3.610052083333333,0.9745314843642612,24,0.19892540624746025
Diameter increment,Robinia mean,2025-08-05,fagus,with-robinia,,,1.5616304347826087,0.6607499865406269,23,0.13777589628173886
Diameter increment,Robinia mean,2025-08-05,quercus,without-robinia,,,3.4482291666666667,0.40477515173259465,24,0.08262438185854128
Diameter increment,Robinia mean,2025-08-05,quercus,with-robinia,,,1.4569,0.5384738174538604,25,0.10769476349077207
Diameter increment,Robinia mean,2025-09-01,fagus,without-robinia,,,3.8112500000000002,1.0371834247237754,24,0.21171418002046805
Diameter increment,Robinia mean,2025-09-01,fagus,with-robinia,,,1.6471195652173913,0.7530505607103456,23,0.15702189642186934
Diameter increment,Robinia mean,2025-09-01,quercus,without-robinia,,,4.346510416666667,0.5063341957853112,24,0.10335503491637413
Diameter increment,Robinia mean,2025-09-01,quercus,with-robinia,,,1.89795,0.49230205412937283,25,0.09846041082587456
Diameter increment,Robinia mean,2025-09-29,fagus,without-robinia,,,4.02921875,1.0500917928626525,24,0.21434908963315544
Diameter increment,Robinia mean,2025-09-29,fagus,with-robinia,,,1.8553260869565218,0.7300052748672385,23,0.15221662214751605
Diameter increment,Robinia mean,2025-09-29,quercus,without-robinia,,,5.5359895833333335,0.9263919447042177,24,0.18909896386249522
Diameter increment,Robinia mean,2025-09-29,quercus,with-robinia,,,2.7535,0.7572902624929668,25,0.15145805249859337
Diameter increment,Robinia mean,2025-11-05,fagus,without-robinia,,,4.102864583333333,1.0389342155471641,24,0.21207155870077218
Diameter increment,Robinia mean,2025-11-05,fagus,with-robinia,,,1.903532608695652,0.7674041852553521,23,0.1600148340334666
Diameter increment,Robinia mean,2025-11-05,quercus,without-robinia,,,5.698645833333333,0.9557462737382201,24,0.1950908911854178
Diameter increment,Robinia mean,2025-11-05,quercus,with-robinia,,,2.9265499999999998,0.7775663389437157,25,0.15551326778874314
Diameter increment,Robinia mean,2025-12-02,fagus,without-robinia,,,4.102864583333333,1.0389342155471641,24,0.21207155870077218
Diameter increment,Robinia mean,2025-12-02,fagus,with-robinia,,,1.903532608695652,0.7674041852553521,23,0.1600148340334666
Diameter increment,Robinia mean,2025-12-02,quercus,without-robinia,,,5.730677083333333,0.8787383633936889,24,0.17937171731024318
Diameter increment,Robinia mean,2025-12-02,quercus,with-robinia,,,2.9001,0.7342730354745433,25,0.14685460709490866
Quantum yield,treatment combination,2025-06-18,fagus,without-robinia,control,mono,0.7454166666666666,0.07621361094157411,24,0.015557038188487799
Quantum yield,treatment combination,2025-06-18,fagus,without-robinia,control,mixed,0.6966666666666667,0.12047884260380122,12,0.0347792461044796
Quantum yield,treatment combination,2025-06-18,fagus,without-robinia,drought,mono,0.75375,0.08520116859782374,24,0.017391615712792456
Quantum yield,treatment combination,2025-06-18,fagus,without-robinia,drought,mixed,0.7641666666666667,0.05946096249310183,12,0.017164901350833293
Quantum yield,treatment combination,2025-06-18,fagus,with-robinia,control,mono,0.8215,0.022070461326349683,20,0.004935105182049806
Quantum yield,treatment combination,2025-06-18,fagus,with-robinia,control,mixed,0.795,0.06459665063087466,12,0.018647446815241848
Quantum yield,treatment combination,2025-06-18,fagus,with-robinia,drought,mono,0.7066666666666667,0.10132456102380441,24,0.02068278940998476
Quantum yield,treatment combination,2025-06-18,fagus,with-robinia,drought,mixed,0.7033333333333334,0.11586303303574623,12,0.0334467766561573
Quantum yield,treatment combination,2025-06-18,quercus,without-robinia,control,mono,0.7670833333333333,0.05060324501251973,24,0.010329344134142592
Quantum yield,treatment combination,2025-06-18,quercus,without-robinia,control,mixed,0.7408333333333333,0.03964807305493798,12,0.011445412825559194
Quantum yield,treatment combination,2025-06-18,quercus,without-robinia,drought,mono,0.7820833333333334,0.039229443984873415,24,0.008007676721336223
Quantum yield,treatment combination,2025-06-18,quercus,without-robinia,drought,mixed,0.7975,0.030785179433085588,12,0.008886915816371448
Quantum yield,treatment combination,2025-06-18,quercus,with-robinia,control,mono,0.7346428571428572,0.0878754228842738,28,0.016606893950458765
Quantum yield,treatment combination,2025-06-18,quercus,with-robinia,control,mixed,0.7816666666666667,0.037618499639825054,12,0.010859525446781417
Quantum yield,treatment combination,2025-06-18,quercus,with-robinia,drought,mono,0.7408333333333333,0.08612007121842544,24,0.01757918592477416
Quantum yield,treatment combination,2025-06-18,quercus,with-robinia,drought,mixed,0.755,0.06529652642856561,12,0.018849483555339934
Quantum yield,treatment combination,2025-07-03,fagus,without-robinia,control,mono,0.7620833333333333,0.037414152944837756,24,0.00763713198944176
Quantum yield,treatment combination,2025-07-03,fagus,without-robinia,control,mixed,0.7608333333333334,0.046604395682914926,12,0.013453530196475383
Quantum yield,treatment combination,2025-07-03,fagus,without-robinia,drought,mono,0.7729166666666667,0.036887510159905115,24,0.007529631481124822
Quantum yield,treatment combination,2025-07-03,fagus,without-robinia,drought,mixed,0.7908333333333334,0.030289011909011558,12,0.008743684589577803
Quantum yield,treatment combination,2025-07-03,fagus,with-robinia,control,mono,0.733,0.0644899012902102,20,0.01442038031471614
Quantum yield,treatment combination,2025-07-03,fagus,with-robinia,control,mixed,0.445,0.2873230680863363,12,0.08294302535201772
Quantum yield,treatment combination,2025-07-03,fagus,with-robinia,drought,mono,0.10833333333333332,0.2162258615161605,24,0.044136919159024256
Quantum yield,treatment combination,2025-07-03,fagus,with-robinia,drought,mixed,0.2816666666666666,0.3580968211717793,12,0.10337364804973805
Quantum yield,treatment combination,2025-07-03,quercus,without-robinia,control,mono,0.7275,0.06549145314300643,24,0.013368386892813283
Quantum yield,treatment combination,2025-07-03,quercus,without-robinia,control,mixed,0.7616666666666666,0.05219427578041894,12,0.01506718958599122
Quantum yield,treatment combination,2025-07-03,quercus,without-robinia,drought,mono,0.7575,0.047844857976407584,24,0.00976629073817736
Quantum yield,treatment combination,2025-07-03,quercus,without-robinia,drought,mixed,0.77,0.051698426211319794,12,0.014924050144892745
Quantum yield,treatment combination,2025-07-03,quercus,with-robinia,control,mono,0.6842857142857143,0.0825262504333137,28,0.01559599537722746
Quantum yield,treatment combination,2025-07-03,quercus,with-robinia,control,mixed,0.6308333333333334,0.14336592300399656,12,0.04138617711948829
Quantum yield,treatment combination,2025-07-03,quercus,with-robinia,drought,mono,0.68375,0.07988102566235343,24,0.01630564608357788
Quantum yield,treatment combination,2025-07-03,quercus,with-robinia,drought,mixed,0.7266666666666667,0.0879393730551528,12,0.0253859103528797
Quantum yield,treatment combination,2025-07-17,fagus,without-robinia,control,mono,0.7670833333333333,0.028964621098200454,24,0.005912378523636938
Quantum yield,treatment combination,2025-07-17,fagus,without-robinia,control,mixed,0.7733333333333333,0.026742316936860872,12,0.007719841941125457
Quantum yield,treatment combination,2025-07-17,fagus,without-robinia,drought,mono,0.7320833333333333,0.05389032071408247,24,0.011000315652036739
Quantum yield,treatment combination,2025-07-17,fagus,without-robinia,drought,mixed,0.7541666666666667,0.032039275140289175,12,0.00924894206344322
Quantum yield,treatment combination,2025-07-17,fagus,with-robinia,control,mono,0.7625,0.045638741622026656,20,0.010205132867440061
Quantum yield,treatment combination,2025-07-17,fagus,with-robinia,control,mixed,0.5516666666666666,0.33512096413990666,12,0.09674108942863102
Quantum yield,treatment combination,2025-07-17,fagus,with-robinia,drought,mono,0.22708333333333333,0.30657262657047324,24,0.062578875350206
Quantum yield,treatment combination,2025-07-17,fagus,with-robinia,drought,mixed,0.2833333333333333,0.35466586921760423,12,0.10238321753257822
Quantum yield,treatment combination,2025-07-17,quercus,without-robinia,control,mono,0.7766666666666666,0.026484887678869237,24,0.005406205059012898
Quantum yield,treatment combination,2025-07-17,quercus,without-robinia,control,mixed,0.7533333333333333,0.0357601437187811,12,0.010323064301148986
Quantum yield,treatment combination,2025-07-17,quercus,without-robinia,drought,mono,0.7620833333333333,0.030642279212916252,24,0.006254829052294714
Quantum yield,treatment combination,2025-07-17,quercus,without-robinia,drought,mixed,0.7391666666666666,0.06316764611058034,12,0.01823492874300929
Quantum yield,treatment combination,2025-07-17,quercus,with-robinia,control,mono,0.7096428571428571,0.15824224614687593,28,0.02990497358635019
Quantum yield,treatment combination,2025-07-17,quercus,with-robinia,control,mixed,0.7466666666666667,0.07450849046595397,12,0.021508748513715596
